source_id	accession_or_doi	resource	version_or_commit	genome_build	access	license	url	retrieved_utc	sha256	local_name	planned_use	status
craftseq	10.5281/zenodo.15935857	CRAFTseq open cell-line data	v1	mixed	public	record terms	https://zenodo.org/records/15935857	2026-09-12			allele-resolved extension	audited, primary CD4 data controlled
encode_crispri	10.1038/s41592-024-02216-7	ENCODE integrated noncoding CRISPRi screen supplementary tables	2024	hg19 and hg38	public	CC BY 4.0	https://static-content.springer.com/esm/art%3A10.1038%2Fs41592-024-02216-7/MediaObjects/41592_2024_2216_MOESM3_ESM.xlsx	2026-09-12	522cf3a510185dfe77186173f75fb703ea0f5f0a05660e609a635da022c93f58	supplementary_tables.xlsx	CRE validation	verified
eqtlgen_trans	Phase I	eQTLGen significant trans-eQTL associations	2019-12-23	GRCh37	public	resource terms	https://download.gcc.rug.nl/downloads/eqtlgen/trans-eqtl/2018-09-04-trans-eQTLsFDR0.05-CohortInfoRemoved-BonferroniAdded.txt.gz	2026-09-12	4ae812b861c63fb4d00abeea6f9dc60a8c447e8a6b73426b7cfdd368f028a9e2	trans_significant.txt.gz	natural-genetic validation	verified
eqtlgen_cis	Phase I	eQTLGen significant cis-eQTL associations	2019-12-23	GRCh37	public	resource terms	https://download.gcc.rug.nl/downloads/eqtlgen/cis-eqtl/2019-12-11-cis-eQTLsFDR0.05-ProbeLevel-CohortInfoRemoved-BonferroniAdded.txt.gz	2026-09-12	8d963046d7b74cf3533c3510614cdc724e7ad0e325a3d2f7cca63ad13661b4c4	cis_significant.txt.gz	cis mediator selection	verified
opentargets_gata3	08084ba2089ac9106beddbae944e4e56	Open Targets GATA3 asthma credible set	2026-09-12	GRCh38	public	CC BY 4.0	https://api.platform.opentargets.org/api/v4/graphql	2026-09-12	de430854fb0c0e6a24d05f4837708af90d81d328d37c688af4feba3f31b9294c	opentargets_locus_cards.json	GATA3 locus card	verified, 9 variants
opentargets_stat3	374aec5062abfe605b8a0d984c4efd1e	Open Targets STAT3 inflammatory bowel disease credible set	2026-09-12	GRCh38	public	CC BY 4.0	https://api.platform.opentargets.org/api/v4/graphql	2026-09-12	de430854fb0c0e6a24d05f4837708af90d81d328d37c688af4feba3f31b9294c	opentargets_locus_cards.json	STAT3 locus card	verified, 40 variants
opentargets_ptpn22	b00610bcfd2485c4decb85fac85fbcdd	Open Targets PTPN22 rheumatoid arthritis credible set	2026-09-12	GRCh38	public	CC BY 4.0	https://api.platform.opentargets.org/api/v4/graphql	2026-09-12	de430854fb0c0e6a24d05f4837708af90d81d328d37c688af4feba3f31b9294c	opentargets_locus_cards.json	PTPN22 locus card	verified, 1 variant
replogle_rpe1_holdout	10.25452/figshare.plus.20022944	Replogle RPE1 CRISPRi Perturb-seq processed single-cell matrix	scPertEval processed release	GRCh38	public	source terms	https://storage.googleapis.com/scperteval/processed/replogle22rpe1_processed_complete.h5ad	2026-09-12	25cb5bad6cd7abd834baa191ffa4b0b414dbfe3f5c6b927999380d2d4bc3ae3d	replogle22rpe1_processed_complete.h5ad	original external falsification holdout; previously inspected for later extensions	verified, 1877364555 bytes, server MD5 matched
encode_cd4_atac	ENCSR841LHT	Primary CD4 T-cell ATAC-seq IDR thresholded peaks ENCFF944LFH	released	GRCh38	public	ENCODE terms	https://www.encodeproject.org/files/ENCFF944LFH/@@download/ENCFF944LFH.bed.gz	2026-09-12	f6d24433af87ecae698368268a5215a01d80c75bf425e38593d808548762fefb	ENCFF944LFH.bed.gz	credible-set chromatin overlap	verified checksum; source experiment carries ENCODE noncompliance note
opentargets_colocalisation	three frozen study-locus IDs	Open Targets credible-set colocalisation rows	2026-09-12	GRCh38	public	CC BY 4.0	https://api.platform.opentargets.org/api/v4/graphql	2026-09-12	c6c3f0d340aa902b88e7dc5e6ba1826fd974ae7758ec08eda0521ca437b93351	ot_coloc_rows.json	causal triangulation	verified; GATA3 59, STAT3 69, PTPN22 first 100 of 351 rows
beeline_v4_data	10.5281/zenodo.19009603	BEELINE v4 single-cell benchmark data	v4	mixed species	public	record terms	https://zenodo.org/records/19009603	2026-09-12	3e67582fb8a4ba5c2189f6a0bfb14abb1d61f21921459bdeb4a2a9f2b652d816	BEELINE-data.zip	external GRN benchmarking	verified; published MD5 9EA93065004F2F12022ADEEAF3728EDD matched
beeline_v4_networks	10.5281/zenodo.19009603	BEELINE v4 reference networks	v4	mixed species	public	record terms	https://zenodo.org/records/19009603	2026-09-12	d54fc6ed6529141e85f94803d2c730a8173a3e867026227528ff1ae832765607	BEELINE-Networks.zip	external GRN benchmarking	verified; published MD5 A7DCA84D302BB127BAD962AE52815662 matched
cd4_pchic	10.1186/s13059-017-1285-0	Activated and non-activated primary CD4 T-cell CHiCAGO interactions	Additional file 5 Table S4	GRCh37	public	CC BY 4.0	https://media.springernature.com/original/springer-static/esm/art%3A10.1186%2Fs13059-017-1285-0/MediaObjects/13059_2017_1285_MOESM5_ESM.gz	2026-09-12	23eb3205b2d45922cb511f698ba490de686df9e57c3a81f60568c865752ff857	cd4_pchic_interactions.tsv.gz	credible-set promoter-contact testing	verified gzip; 291535 interaction rows; CHiCAGO score greater than 5
ensembl_locus_genes	Ensembl REST	GRCh38 coordinates for GATA3, STAT3, and PTPN22	current on retrieval date	GRCh38	public	Ensembl terms	https://rest.ensembl.org	2026-09-12		gene_coordinates.csv	locus tracks	verified by Ensembl stable gene IDs
encode_cd4_h3k27ac	ENCSR396RXX	Primary CD4 T-cell H3K27ac pseudoreplicated narrow peaks ENCFF068XUG	released	GRCh38	public	ENCODE terms	https://www.encodeproject.org/files/ENCFF068XUG/@@download/ENCFF068XUG.bed.gz	2026-09-13	d4c003434581b8e1117c06477b484b53b8798e55daf636ba38da594da675f905	ENCFF068XUG.bed.gz	GATA3 locus track	verified SHA256 and published MD5 17d4fe5b096669738a3d4a1c8d6a971f
enrichr_transfac_jaspar	TRANSFAC_and_JASPAR_PWMs	Enrichr TRANSFAC and JASPAR PWM target-gene library	current on retrieval date	mixed	public	Enrichr terms	https://maayanlab.cloud/Enrichr/geneSetLibrary?mode=text&libraryName=TRANSFAC_and_JASPAR_PWMs	2026-09-13	55424badcff1aec60889d8be5ef98e2698c9e85164373157a72b22ec3e6dd68e	TRANSFAC_and_JASPAR_PWMs.gmt	motif target enrichment	verified SHA256; analysis restricted to human-labelled sets
encode_cd4_ctcf	ENCSR470KCE	Primary CD4 T-cell CTCF ChIP-seq IDR thresholded peaks ENCFF858TLX	released	GRCh38	public	ENCODE terms	https://www.encodeproject.org/files/ENCFF858TLX/@@download/ENCFF858TLX.bed.gz	2026-09-13	c8a9d42a44feab05e4b5a634a5bbc75746fe14ac4c08b9080f000ce3a19435ce	ENCFF858TLX.bed.gz	state-compatible TF occupancy	verified
omnipath_tf_target	OmniPath tf_target	Human signed TF-target interactions with source provenance	current on retrieval date	gene symbols	public	OmniPath license	https://omnipathdb.org/interactions?format=tsv&datasets=tf_target&organisms=9606&fields=sources,references&genesymbols=1	2026-09-13	e252ce9460fa2b2ad0c73a15c55158183f50698c8d1da27f3cb102e7bfb6cf5d	omnipath_tf_target.tsv	signed curated regulatory edges	verified
ensembl_gene_attributes	Ensembl release 116	Human gene coordinates and gene GC content	2026-06	GRCh38	public	Ensembl terms	https://www.ensembl.org/biomart/martservice	2026-09-13	2f7ab71c084f4ada92fd81bab4c8adf85d65f854c566917e2fe46fc6e4520e3a	ensembl_gene_attributes.tsv	matched backgrounds and promoter coordinates	verified
ucsc_hg19_hg38_chain	UCSC hg19ToHg38	Human GRCh37 to GRCh38 liftOver chain	current on retrieval date	hg19 to hg38	public	UCSC terms	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/liftOver/hg19ToHg38.over.chain.gz	2026-09-13	5c0598e500ceb5a78c73086929e8ef993aec309bcafb595139b53d440b125a1d	hg19ToHg38.over.chain.gz	promoter-capture Hi-C coordinate harmonization	verified
tftg	TFTG	TF-target gene database	current	gene symbols	public	resource terms	https://guolab.wchscu.cn/TFTGdb	2026-09-13			regulatory corroboration	unavailable; no frozen versioned machine-readable snapshot acquired
