source_row,gene,bait_chr_grch37,bait_start_grch37,bait_end_grch37,prey_chr_grch37,prey_start_grch37,prey_end_grch37,bait_liftover_status,prey_liftover_status,bait_first_candidates,bait_last_candidates,prey_first_candidates,prey_last_candidates,chicago_activated,chicago_nonactivated,called_activated,called_nonactivated,differential_logfc,differential_fdr,bait_chr_grch38,bait_start_grch38,bait_end_grch38,bait_strand,prey_chr_grch38,prey_start_grch38,prey_end_grch38,prey_strand,liftover_status
12788,PTPN22,1,114407053,114415028,1,115051914,115054660,mapped,mapped,1,1,1,1,5.12790547160903,3.61876069768049,True,False,-0.0777602113424886,0.97923516995236,1,113864431,113872406,+,1,114509293,114512039,+,mapped
12789,PTPN22,1,114407053,114415028,1,115258854,115262604,mapped,mapped,1,1,1,1,5.66180806959205,5.26087348858836,True,True,-0.101811902087621,0.97923516995236,1,113864431,113872406,+,1,114716233,114719983,+,mapped
12790,PTPN22,1,114407053,114415028,1,115298294,115301989,mapped,mapped,1,1,1,1,6.98879507019266,2.13490790889063,True,False,0.647434843272456,0.742296392859769,1,113864431,113872406,+,1,114755673,114759368,+,mapped
27818,GATA3,10,8081682,8103205,10,8222693,8225390,mapped,mapped,1,1,1,1,2.84609757410081,5.07834429141101,False,True,-0.547012929222877,0.103229349196676,10,8039719,8061242,+,10,8180730,8183427,+,mapped
27819,GATA3,10,8081682,8103205,10,8279486,8287385,mapped,mapped,1,1,1,1,2.97619250024134,5.21539468194399,False,True,-0.509413444286308,0.36520873777911,10,8039719,8061242,+,10,8237523,8245422,+,mapped
27820,GATA3,10,8081682,8103205,10,8287386,8288410,mapped,mapped,1,1,1,1,5.0993862429406,7.63434624630964,True,True,-0.415674498341256,0.427406720684069,10,8039719,8061242,+,10,8245423,8246447,+,mapped
27821,GATA3,10,8081682,8103205,10,8288411,8291917,mapped,mapped,1,1,1,1,3.27596696821481,6.96185858356106,False,True,-0.674287587032654,0.0555771632971512,10,8039719,8061242,+,10,8246448,8249954,+,mapped
27822,GATA3,10,8081682,8103205,10,8363301,8371278,mapped,mapped,1,1,1,1,3.61698174617635,6.46954560390402,False,True,-0.498527014814966,0.467939785574708,10,8039719,8061242,+,10,8321338,8329315,+,mapped
27823,GATA3,10,8081682,8103205,10,8371279,8375598,mapped,mapped,1,1,1,1,7.17256034714702,12.2644018029598,True,True,-0.564458293713449,0.132133778522299,10,8039719,8061242,+,10,8329316,8333635,+,mapped
27824,GATA3,10,8081682,8103205,10,8375599,8376903,mapped,mapped,1,1,1,1,9.67021311911857,17.0059166402148,True,True,-0.700560299061317,0.0029646255277886,10,8039719,8061242,+,10,8333636,8334940,+,mapped
27825,GATA3,10,8081682,8103205,10,8376904,8377545,mapped,mapped,1,1,1,1,7.90838338869361,12.2502767312691,True,True,-0.393254213456801,0.492370115053507,10,8039719,8061242,+,10,8334941,8335582,+,mapped
27826,GATA3,10,8081682,8103205,10,8377546,8381888,mapped,mapped,1,1,1,1,4.60207812689553,8.0395686811925,False,True,-0.507696752024644,0.410151643795399,10,8039719,8061242,+,10,8335583,8339925,+,mapped
27827,GATA3,10,8081682,8103205,10,8381889,8385645,mapped,mapped,1,1,1,1,5.67616675065203,5.37770201385472,True,True,0.0145567723653103,0.999943580677274,10,8039719,8061242,+,10,8339926,8343682,+,mapped
27828,GATA3,10,8081682,8103205,10,8436218,8438299,mapped,mapped,1,1,1,1,4.46164661153787,5.93363164519425,False,True,-0.200141202802177,0.903490911607236,10,8039719,8061242,+,10,8394255,8396336,+,mapped
27829,GATA3,10,8081682,8103205,10,8438300,8438460,mapped,mapped,1,1,1,1,5.16922760063039,7.36776495687086,True,True,-0.320374137802475,0.784566068006889,10,8039719,8061242,+,10,8396337,8396497,+,mapped
27830,GATA3,10,8081682,8103205,10,8438461,8444696,mapped,mapped,1,1,1,1,8.15397905373629,10.6366758310471,True,True,-0.218608963945505,0.85262448063477,10,8039719,8061242,+,10,8396498,8402733,+,mapped
27831,GATA3,10,8081682,8103205,10,8444697,8446432,mapped,mapped,1,1,1,1,12.8277447260497,16.3662426052801,True,True,-0.249607613981561,0.768335851330247,10,8039719,8061242,+,10,8402734,8404469,+,mapped
27832,GATA3,10,8081682,8103205,10,8446433,8451589,mapped,mapped,1,1,1,1,4.88064581484796,7.55181686132208,False,True,-0.429001210625851,0.636967197974824,10,8039719,8061242,+,10,8404470,8409626,+,mapped
27833,GATA3,10,8081682,8103205,10,8473494,8477676,mapped,mapped,1,1,1,1,6.92592873371241,8.30315502512631,True,True,-0.164356567544601,0.919756410353024,10,8039719,8061242,+,10,8431531,8435713,+,mapped
27834,GATA3,10,8081682,8103205,10,8477741,8486187,mapped,mapped,1,1,1,1,5.13031866827152,6.47809017776725,True,True,-0.254688553933035,0.872429873845457,10,8039719,8061242,+,10,8435778,8444224,+,mapped
27835,GATA3,10,8081682,8103205,10,8486188,8488171,mapped,mapped,1,1,1,1,11.2715290647195,14.7659580139477,True,True,-0.307118546532086,0.716141788377741,10,8039719,8061242,+,10,8444225,8446208,+,mapped
27836,GATA3,10,8081682,8103205,10,8488172,8491927,mapped,mapped,1,1,1,1,8.41620665530348,10.539660339346,True,True,-0.214911024375125,0.874010482367826,10,8039719,8061242,+,10,8446209,8449964,+,mapped
27837,GATA3,10,8081682,8103205,10,8493476,8498868,mapped,mapped,1,1,1,1,5.4124741585348,6.47779322906132,True,True,-0.197846547033734,0.910859750459347,10,8039719,8061242,+,10,8451513,8456905,+,mapped
27838,GATA3,10,8081682,8103205,10,8498869,8499699,mapped,mapped,1,1,1,1,3.30190366065897,6.06202685181489,False,True,-0.375893087157738,0.79876041822181,10,8039719,8061242,+,10,8456906,8457736,+,mapped
27839,GATA3,10,8081682,8103205,10,8504235,8506130,mapped,mapped,1,1,1,1,5.55809010824073,8.3527308094213,True,True,-0.347092879189754,0.769804715460166,10,8039719,8061242,+,10,8462272,8464167,+,mapped
27840,GATA3,10,8081682,8103205,10,8506131,8509134,mapped,mapped,1,1,1,1,8.54270820377769,7.83075727022453,True,True,0.088159798435823,0.957009877146529,10,8039719,8061242,+,10,8464168,8467171,+,mapped
27841,GATA3,10,8081682,8103205,10,8509135,8513874,mapped,mapped,1,1,1,1,7.42561761859528,8.49612232698054,True,True,-0.123538920342957,0.945827226230831,10,8039719,8061242,+,10,8467172,8471911,+,mapped
27842,GATA3,10,8081682,8103205,10,8513875,8515197,mapped,mapped,1,1,1,1,10.5656459030939,12.4703601710247,True,True,-0.181514601763625,0.893487640713964,10,8039719,8061242,+,10,8471912,8473234,+,mapped
27843,GATA3,10,8081682,8103205,10,8515198,8517757,mapped,mapped,1,1,1,1,8.55209787298582,16.1056361209218,True,True,-0.68152270566499,0.0791580987708946,10,8039719,8061242,+,10,8473235,8475794,+,mapped
27844,GATA3,10,8081682,8103205,10,8517758,8517925,mapped,mapped,1,1,1,1,9.330875001019,14.1572574881246,True,True,-0.446350317708689,0.45560810682359,10,8039719,8061242,+,10,8475795,8475962,+,mapped
27845,GATA3,10,8081682,8103205,10,8517926,8518486,mapped,mapped,1,1,1,1,6.6570135367121,8.58669575620936,True,True,-0.131604389341426,0.942341049760224,10,8039719,8061242,+,10,8475963,8476523,+,mapped
27846,GATA3,10,8081682,8103205,10,8518487,8524219,mapped,mapped,1,1,1,1,4.65103386191833,5.49913941698279,False,True,-0.192458448635157,0.923066954703052,10,8039719,8061242,+,10,8476524,8482256,+,mapped
27847,GATA3,10,8081682,8103205,10,9050199,9051193,mapped,mapped,1,1,1,1,2.66755761567059,9.09768186417228,False,True,-0.942325005139413,0.241233336548368,10,8039719,8061242,+,10,9008236,9009230,+,mapped
27848,GATA3,10,8081682,8103205,10,9051194,9052619,mapped,mapped,1,1,1,1,1.41123706705581,5.09851452049292,False,True,-0.795024173237766,0.553478980163128,10,8039719,8061242,+,10,9009231,9010656,+,mapped
27849,GATA3,10,8081682,8103205,10,9052620,9053239,mapped,mapped,1,1,1,1,3.84390141697285,11.3886044917863,False,True,-0.852913263742799,0.250963492340437,10,8039719,8061242,+,10,9010657,9011276,+,mapped
27850,GATA3,10,8081682,8103205,10,9130996,9131174,mapped,mapped,1,1,1,1,3.55384307876934,7.85098527310831,False,True,-0.487512212385914,0.783276353081517,10,8039719,8061242,+,10,9089033,9089211,+,mapped
27851,GATA3,10,8081682,8103205,10,9133355,9134525,mapped,mapped,1,1,1,1,6.48452523343799,5.48171250561316,True,True,0.227310283950138,0.925903255240091,10,8039719,8061242,+,10,9091392,9092562,+,mapped
27852,GATA3,10,8081682,8103205,10,9134526,9137703,mapped,mapped,1,1,1,1,3.00753177401206,5.62304261730865,False,True,-0.417266072891432,0.843359511428731,10,8039719,8061242,+,10,9092563,9095740,+,mapped
27853,GATA3,10,8081682,8103205,10,9137733,9138127,mapped,mapped,1,1,1,1,3.01221436637359,9.73332563799208,False,True,-0.737705949600484,0.484519454974139,10,8039719,8061242,+,10,9095770,9096164,+,mapped
27854,GATA3,10,8081682,8103205,10,9138128,9138410,mapped,mapped,1,1,1,1,4.57028500412814,12.2458503920291,False,True,-0.928632477746517,0.134509333496645,10,8039719,8061242,+,10,9096165,9096447,+,mapped
27855,GATA3,10,8081682,8103205,10,9138411,9139794,mapped,mapped,1,1,1,1,11.1846917058607,17.1706937340819,True,True,-0.353755413944245,0.781530615086543,10,8039719,8061242,+,10,9096448,9097831,+,mapped
27856,GATA3,10,8081682,8103205,10,9139795,9142016,mapped,mapped,1,1,1,1,3.01988463911778,9.13917757190213,False,True,-0.708019286851819,0.531941108808564,10,8039719,8061242,+,10,9097832,9100053,+,mapped
27857,GATA3,10,8081682,8103205,10,9142017,9144182,mapped,mapped,1,1,1,1,2.07836919937207,6.71676178366626,False,True,-0.831991276619567,0.458500580637589,10,8039719,8061242,+,10,9100054,9102219,+,mapped
27858,GATA3,10,8081682,8103205,10,9243137,9246453,mapped,mapped,1,1,1,1,0.766035066303691,6.1101877485243,False,True,-1.10229605642889,0.328097477355102,10,8039719,8061242,+,10,9201174,9204490,+,mapped
27859,GATA3,10,8081682,8103205,10,9246454,9251002,mapped,mapped,1,1,1,1,6.05507738182312,8.92455246811935,True,True,-0.250571457869367,0.914351619942275,10,8039719,8061242,+,10,9204491,9209039,+,mapped
27860,GATA3,10,8081682,8103205,10,9251003,9251154,mapped,mapped,1,1,1,1,12.4442611768808,15.6088521044624,True,True,-0.148068029925208,0.938137484406196,10,8039719,8061242,+,10,9209040,9209191,+,mapped
27861,GATA3,10,8081682,8103205,10,9251155,9252661,mapped,mapped,1,1,1,1,12.9033040184062,12.8544281924159,True,True,0.0586503116790979,0.97923516995236,10,8039719,8061242,+,10,9209192,9210698,+,mapped
27862,GATA3,10,8081682,8103205,10,9252662,9256143,mapped,mapped,1,1,1,1,5.97053400973754,4.78397742341246,True,False,0.164315092324177,0.955166222233428,10,8039719,8061242,+,10,9210699,9214180,+,mapped
