candidate_id	bundle_id	accession	source_key	evidence_family	assay_or_resource	version	species	cell_type	primary_cell_flag	cell_state	activation_time_hours	stimulus	genome_build	identifier_scheme	factor_targets	frozen_perturbed_tf_denominator	frozen_perturbed_tf_coverage_n	frozen_secondary_tf_denominator	frozen_secondary_tf_coverage_n	factor_coverage_status	donor_count	biological_replicates	technical_replicates	qc_metadata	build_gate	identifier_gate	peak_quality_gate	state_gate	time_gate	license	provider_checksum	checksum_algorithm	physical_evidence	perturbational_evidence	alternative_cascade_capable	chromatin_context_only	motif_only	correlated_family	outcome_unopened	outcome_fields_opened	metadata_complete	metadata_rank_score	selection_rank	decision	stop_reason	metadata_hash_basis	provisional_metadata_sha256
M15	GSE171737	GSE171737	S15	independent_perturbation	primary T-cell CRISPR screen bundle	GEO public superseries	Homo sapiens	primary human T cells	true	activated	unavailable	T-cell activation; exact timing unavailable	unavailable	GEO accession; target list unavailable	unavailable	284	unavailable	133	unavailable	unavailable	3	3 donors	unavailable	screen and ATAC/RNA subseries present; outcomes unopened	unavailable	unavailable	unavailable	fail	unavailable	unavailable	unavailable	unavailable	false	true	true	false	false	none	true	false	false	7	11	STOP	Broad T-cell state, time, build, factor overlap, checksum, and mapping are unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	ff1b4c0c5b94dd73c837dc7a3c8492bb0767dcd7d1d76dc20ed253200d4df5c7
M16	GSE190604	GSE190604	S16	independent_perturbation	CRISPRa Perturb-seq	GEO public release	Homo sapiens	primary human bulk T cells	true	restimulated; non-restimulated	24 after restimulation; day 9	anti-CD3/CD28 restimulation	GRCh38-2020-A	GEO accession; guide-to-gene mapping	70 candidate genes; locked list unavailable	284	unavailable	133	unavailable	unavailable	unavailable	unavailable	unavailable	Cell Ranger 6.1.1 stated; outcomes unopened	pass	unavailable	not_applicable	fail	fail	unavailable	unavailable	unavailable	false	true	true	false	false	none	true	false	false	7	12	STOP	Bulk T-cell context and 24-hour timing do not match frozen CD4 states; factor overlap unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	223e84158911a80aad5a84c7b7866146e2942cc842f61f3862f950de8d2194d5
M17	GSE314342	GSE314342	S17	excluded_development	candidate-development perturbation dataset	permanent exclusion registry	Homo sapiens	primary human T-cell metadata	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	284	unavailable	133	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	false	false	false	false	false	none	false	false	false	-999	27	STOP	Outcomes were inspected during candidate development before freeze; permanent confirmatory exclusion	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	e64fbf5ea4485e7d6308734b82da4cd19e1937052d454cdf631250e50ba2bfc9
M18	MOTIF_RESOURCES	JASPAR2026	S18	motif	JASPAR CORE vertebrate motifs	JASPAR 2026; 11th release	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	JASPAR matrix ID; TF name	release-wide target list not locked	284	unavailable	133	unavailable	unavailable	not_applicable	not_applicable	not_applicable	curated motif release	not_applicable	pass	not_applicable	not_applicable	not_applicable	CC-BY-4.0	unavailable	unavailable	false	false	false	false	true	none	true	false	false	-4	23	STOP	Versioned motifs are not physical or perturbational evidence; checksum and factor coverage unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	ec1d6d03e6b7e4ba2297d19cb0b0c40393a1d4250787d982044af860330fcbcf
M19	MOTIF_RESOURCES	HOCOMOCOv12	S19	motif	HOCOMOCO human motifs	v12	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	HOCOMOCO model ID; TF gene symbol	release-wide target list not locked	284	unavailable	133	unavailable	unavailable	not_applicable	not_applicable	not_applicable	curated motif collection	not_applicable	pass	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	true	none	true	false	false	-4	22	STOP	Versioned motifs are not physical or perturbational evidence; license, checksum, and factor coverage unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	2b3515eb6eacb6bdad1095ea1ccfb556242d8eb5fc1a83be6bbfbef52bf7b229
M20	CURATED_NETWORK_CORRELATED	DoRothEA-A	S20	curated_network_correlated	DoRothEA signed TF-target network	package 1.7.3; network snapshot unavailable	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	HGNC symbols; confidence A	frozen resource regulators	284	120	133	84	verified_against_frozen_snapshot	not_applicable	not_applicable	not_applicable	confidence-A edges in prior frozen cascade	not_applicable	pass	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	4	15	STOP	Previously used correlated network; embedded release checksum and independently versioned network unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	0120ef61d27daee41c1c7bab895980b6b8d4dd5b6683254152c240f8956e1302
M21	CURATED_NETWORK_CORRELATED	TRRUSTv2	S21	curated_network_correlated	TRRUST human signed TF-target network	v2; 2018-04-16	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	HGNC symbols; Entrez identifiers	frozen resource regulators	284	268	133	119	verified_against_frozen_snapshot	not_applicable	not_applicable	not_applicable	literature-curated relations	not_applicable	pass	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	4	18	STOP	Previously used correlated network; checksum and state-specific evidence unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	630c83461ffe6cc10741ab8626ff025a4905fb5d80eef6480a2728b1a9f3d975
M22	CURATED_NETWORK_CORRELATED	RegNetwork-frozen	S22	curated_network_correlated	RegNetwork TF-target network	historical frozen snapshot; release unavailable	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	HGNC symbols	frozen resource regulators	284	43	133	40	verified_against_frozen_snapshot	not_applicable	not_applicable	not_applicable	prior frozen cascade source	not_applicable	pass	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	4	16	STOP	Previously used correlated network; historical version and checksum unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	4e2a6fc42d493cfa0e3ec5b0e8738409f35f51ef7a164ba6f8912abdcae09564
M23	CURATED_NETWORK_CORRELATED	RegNetwork2025	S23	curated_network_correlated	RegNetwork 2025 TF-target network	2025	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	resource identifiers; mapping not locked	release-wide target list not locked	284	unavailable	133	unavailable	unavailable	not_applicable	not_applicable	not_applicable	official 2025 release metadata	not_applicable	unavailable	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	-4	25	STOP	Current release remains correlated; factor mapping, license text, and checksum unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	57bc1a6e7f2e46bcc1ba96fefea2d1c18861140983f3252b477486990684cfff
M24	CURATED_NETWORK_CORRELATED	CollecTRI2023	S24	curated_network_correlated	CollecTRI signed TF-target network	2023 publication; snapshot unavailable	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	HGNC symbols	frozen resource regulators	284	272	133	121	verified_against_frozen_snapshot	not_applicable	not_applicable	not_applicable	prior frozen cascade source	not_applicable	pass	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	4	14	STOP	Previously used correlated network; immutable snapshot and checksum unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	fea66b1a9a2238b05f46fba3bd096b2a5f9aee40501d467274b162ea2cb9a22f
M25	CURATED_NETWORK_CORRELATED	decoupleR-Bioc3.22	S25	software_wrapper	decoupleR network activity software	Bioconductor 3.22; exact package version unavailable	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	depends on supplied network	not_applicable	284	unavailable	133	unavailable	not_applicable	not_applicable	not_applicable	not_applicable	software metadata only	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	GPL-3	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	-4	26	STOP	Software wrapper is not independent evidence; exact package and supplied-network versions unavailable	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	7b81b8544c770cfef3bdeaf44d589318187b59ab0ef55208ab85ce0ec3fcc547
M26	CURATED_NETWORK_CORRELATED	TFTG2024	S26	curated_network_correlated	TFTG integrated TF-target resource	2024 publication; mutable portal	Homo sapiens	multiple; primary-CD4 subset unavailable	unavailable	multiple; exact subset unavailable	unavailable	unavailable	unavailable	human gene symbols; dataset accessions	release-wide target list not locked	284	unavailable	133	unavailable	unavailable	unavailable	unavailable	unavailable	integrates ChIP-seq, perturbation RNA-seq, curated edges, and motifs	unavailable	pass	unavailable	unavailable	unavailable	unavailable	unavailable	unavailable	true	true	true	false	false	curated_network_correlated	true	false	false	4	17	STOP	No immutable primary-CD4 state/time subset, frozen factor map, license, or checksum	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	ed30b8af76d4bf9b3c2fe781a0ce8a1ebd37b7bcfc441ed11986b4133d1a5b2c
M27	CURATED_NETWORK_CORRELATED	OmniPath-2026-09-14	S27	curated_network_correlated	OmniPath TF-target API aggregation	retrieval date 2026-09-14; release unavailable	Homo sapiens	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	not_applicable	OmniPath/UniProt/gene symbols; mapping not locked	release-wide target list not locked	284	unavailable	133	unavailable	unavailable	not_applicable	not_applicable	not_applicable	mutable aggregation endpoint	not_applicable	unavailable	not_applicable	not_applicable	not_applicable	unavailable	unavailable	unavailable	false	false	false	false	false	curated_network_correlated	true	false	false	-4	24	STOP	Mutable correlated aggregation lacks immutable release checksum, locked mapping, and state evidence	all_columns_except_selection_rank_and_provisional_metadata_sha256;utf8_lf;header=value	446d478e00b459758d06d4b2044ce88d31b370348449afee2e6b11dde249f85c
