source_id	source_type	title_or_accession	version	url	license	checksum_or_inventory	metadata_used	inspection_scope	current_outcome_artifacts_opened	retrieved_utc_date
gse119450	official_repository	GSE119450	GEO_public	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119450	GEO_no_dataset_specific_license	processed_release_inventory	processed_counts;guide_assignments;states	repository_metadata_and_file_inventory_only	false	2026-09-14
gse278572	official_repository	GSE278572	GEO_public_2024-11	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278572	GEO_no_dataset_specific_license	24_samples;processed_matrix_and_protospacer_inventory	cell_types;states;donors;controls;processed_release	repository_metadata_and_file_inventory_only	false	2026-09-14
gse278572_paper	original_paper	Central_control_of_dynamic_gene_circuits_governs_T_cell_rest_and_activation	version_of_record_2024	https://doi.org/10.1038/s41586-024-08314-y	publisher_terms	publication_metadata	study_design;donors;states	methods_and_data_availability_only	false	2026-09-14
gse241882	official_repository	GSE241882	GEO_public_2023-11-18	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241882	GEO_no_dataset_specific_license	3_samples;RAW_tar_13.6_GB	cell_type;guide_capture;processed_inventory;state count	repository_metadata_and_file_inventory_only	false	2026-09-14
prjna1010684	official_repository	PRJNA1010684	NCBI_record_2026-09-14	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1010684	NCBI_terms	repository_inventory	accession;study linkage	repository_metadata_only	false	2026-09-14
gse241882_paper	original_paper	Mitigation of chromosome loss in clinical CRISPR-Cas9-engineered T cells	version_of_record_2023	https://doi.org/10.1016/j.cell.2023.08.041	publisher_terms	publication_metadata	study design;cell type;state	methods_and_data_availability_only	false	2026-09-14
foxp3_paper	original_paper	Genome-wide CRISPR screen in human T cells reveals regulators of FOXP3	version_of_record_2025-03-26	https://doi.org/10.1038/s41586-025-08795-5	publisher_terms	publication_metadata	Perturb-icCITE-seq design;data availability;genome build	methods_and_data_availability_only	false	2026-09-14
prjdb16517	official_repository	PRJDB16517	DDBJ_record_2026-09-14	https://ddbj.nig.ac.jp/search/entry/bioproject/PRJDB16517	DDBJ_terms	raw_NGS_inventory	accession;raw-only availability	repository_metadata_only	false	2026-09-14
foxp3_github	author_repository	Perturb-icCITEseq	main_2026-09-14	https://github.com/agiguelay/Perturb-icCITEseq	no_license_detected	scripts_only_no_processed_data_inventory	processing code availability;missing processed inputs	repository_file_inventory_and_code_only	false	2026-09-14
frozen_role_registry	frozen_local_metadata	analyses/independent_confirmation/dataset_roles.tsv	d03e3f3	analyses/independent_confirmation/dataset_roles.tsv	project	frozen_roles	permanent exclusions;outcome-unopened roles	local_metadata_only	false	2026-09-14
project_data_manifest	frozen_local_metadata	data_manifest/sources.tsv	d03e3f3	data_manifest/sources.tsv	project	manifest_inventory	previously inspected sources	local_metadata_only	false	2026-09-14
