record_id	record_type	candidate_id	disease	accession	provider	role_id	official_metadata_url	data_url_or_manifest	files	file_count	format	genome_build	ancestry_or_state	terms	terms_url	file_size_bytes	size_scope	provider_checksum	checksum_algorithm	checksum_state	final_sha256_state	complete_statistics_gate	required_variant_qc_metadata_gate	ancestry_match_gate	immune_t_cell_eqtl_gate	state_chromatin_gate	negative_control_gate	independence_gate	novelty_gate	results_gate	role_lock_state	outcome_opening_order	outcome_unopened	opened_in_audit	causal_gate_state	decision	blocker	metadata_retrieval_date	hash_basis	provisional_metadata_sha256
S06	shared_eqtl	NA	NA	QTD000693	eQTL Catalogue	eqtl_cd4_stim16_sumstats	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000041/QTD000693/	QTD000693.all.tsv.gz;QTD000693.all.tsv.gz.tbi	2	bgzip TSV and tabix	GRCh38	combined naive CD4 T cells, anti-CD3-CD28 16h, 99 donors	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	2757478776	HTTP Content-Length sum	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	complete_gene_cis_eqtl_metadata	pass_gene_expression_eQTL_schema	pass_European_ancestry_not_declared_at_dataset_row	pass	partial_16h_not_frozen_8h	pending_protocol_lock	pass_independent_cohort	pass_independent_eQTL	capable_with_stated_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent; local full SHA256, exact role, and state interpretation must be locked before opening	2026-09-14	genetic_access_metadata_v1	e0c6bae496d4c8ec06ccb232022e1d27326eb875738a1cf8d5e7c71a42d91d37
S07	shared_eqtl	NA	NA	QTD000693_SUSIE	eQTL Catalogue	eqtl_cd4_stim16_finemap	https://www.ebi.ac.uk/eqtl/Data_access/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/susie/QTS000041/QTD000693/	QTD000693.credible_sets.tsv.gz;QTD000693.lbf_variable.txt.gz	2	gzip TSV and gzip text	GRCh38	combined naive CD4 T cells, anti-CD3-CD28 16h, 99 donors	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	261276824	HTTP Content-Length sum	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	fine_mapping_files_listed	pass_SuSiE_file_roles_declared	pass_European_ancestry_not_declared_at_dataset_row	pass	partial_16h_not_frozen_8h	pending_protocol_lock	pass_independent_cohort	pass_independent_finemap	capable_with_stated_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent; local full SHA256, exact role, and state interpretation must be locked before opening	2026-09-14	genetic_access_metadata_v1	377343d0f16c3662576c656e0e562383d636cbb614140d67afb65c40ae0e2a8b
S08	shared_eqtl	NA	NA	QTD000690	eQTL Catalogue	eqtl_cd4_stim40_sumstats	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000041/QTD000690/	QTD000690.all.tsv.gz;QTD000690.all.tsv.gz.tbi	2	bgzip TSV and tabix	GRCh38	combined naive CD4 T cells, anti-CD3-CD28 40h, 94 donors	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	3242051603	HTTP Content-Length sum	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	complete_gene_cis_eqtl_metadata	pass_gene_expression_eQTL_schema	pass_European_ancestry_not_declared_at_dataset_row	pass	partial_40h_not_frozen_48h	pending_protocol_lock	pass_independent_cohort	pass_independent_eQTL	capable_with_stated_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent; local full SHA256, exact role, and state interpretation must be locked before opening	2026-09-14	genetic_access_metadata_v1	d838e6423bab0c3cc6d06d944a09899550f79905e6c80ed86d32e687791b9556
S09	shared_eqtl	NA	NA	QTD000690_SUSIE	eQTL Catalogue	eqtl_cd4_stim40_finemap	https://www.ebi.ac.uk/eqtl/Data_access/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/susie/QTS000041/QTD000690/	QTD000690.credible_sets.tsv.gz;QTD000690.lbf_variable.txt.gz	2	gzip TSV and gzip text	GRCh38	combined naive CD4 T cells, anti-CD3-CD28 40h, 94 donors	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	417831355	HTTP Content-Length sum	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	fine_mapping_files_listed	pass_SuSiE_file_roles_declared	pass_European_ancestry_not_declared_at_dataset_row	pass	partial_40h_not_frozen_48h	pending_protocol_lock	pass_independent_cohort	pass_independent_finemap	capable_with_stated_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent; local full SHA256, exact role, and state interpretation must be locked before opening	2026-09-14	genetic_access_metadata_v1	876f87faa4722cf35b18fb4bd311c99765b5add56a4dc7ec2e456eeb26d08df8
S10	shared_chromatin	NA	NA	GSE118189	NCBI GEO	atac_primary_cd4_states	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118189	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118189/suppl/GSE118189_ATAC_counts.txt.gz	GSE118189_ATAC_counts.txt.gz	1	gzip TSV	hg19	resting and stimulated primary human immune cells, 175 samples; CD4 subsets included	NCBI database use policy and study terms	https://www.ncbi.nlm.nih.gov/home/about/policies/	116752142	HTTP Content-Length	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	not_applicable	pass_peak_count_matrix_declared	pass_not_applicable	pass_not_applicable	pass_state_relevant_with_liftover_required	pending_protocol_lock	pass_independent_chromatin	pass_independent_ATAC	capable_after_liftover_protocol_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent and hg19-to-GRCh38 liftover acceptance rules remain to be frozen	2026-09-14	genetic_access_metadata_v1	82592233f9153a9d0972d52bb882ed23d7208a5f77dd559a9fce2db343073bb4
S11	shared_chromatin	NA	NA	GSE244035_MATRIX	NCBI GEO	h3k27ac_primary_cd4_matrix	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244035	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244035/suppl/GSE244035_Peak_matrix_total_samples_cutnrun_raw_H3K27ac_combined_peaks_total_5000.csv.gz	GSE244035_Peak_matrix_total_samples_cutnrun_raw_H3K27ac_combined_peaks_total_5000.csv.gz	1	gzip CSV	GRCh38	primary CD4 Teff and Treg, Rest and Stim48hr, 160 samples	NCBI database use policy and study terms	https://www.ncbi.nlm.nih.gov/home/about/policies/	2652932	HTTP Content-Length	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	not_applicable	pass_combined_peak_matrix_declared	pass_not_applicable	pass_not_applicable	pass_state_relevant_time_not_exact	pending_protocol_lock	pass_independent_from_GSE314342_primary	pass_independent_H3K27ac	capable_with_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent and lack of an 8h state must remain an explicit limitation	2026-09-14	genetic_access_metadata_v1	3792db24a35db9ef2f4706b4719f7a82ae77eee7d452fbb77665ee50ea26f2f4
S12	shared_chromatin	NA	NA	GSE244035_RAW	NCBI GEO	h3k27ac_primary_cd4_peak_archive	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE244035	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244035/suppl/GSE244035_RAW.tar	GSE244035_RAW.tar	1	TAR of gzip BED and BEDGRAPH	GRCh38	primary CD4 Teff and Treg, Rest and Stim48hr, 160 samples	NCBI database use policy and study terms	https://www.ncbi.nlm.nih.gov/home/about/policies/	11307591680	GEO filelist exact bytes	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	not_applicable	pass_per_sample_peak_and_signal_files_declared	pass_not_applicable	pass_not_applicable	pass_state_relevant_time_not_exact	pending_protocol_lock	pass_independent_from_GSE314342_primary	pass_independent_H3K27ac	capable_with_time_limit_after_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Provider checksum is absent and lack of an 8h state must remain an explicit limitation	2026-09-14	genetic_access_metadata_v1	a9679aa73546b3310f3d96cd088cdcaf8298f8c052c79c429a18c1f883a9a3e9
S13	shared_reference	NA	NA	hg19ToHg38.over.chain.gz	UCSC Genome Browser	atac_build_harmonization	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/liftOver/	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/liftOver/hg19ToHg38.over.chain.gz	hg19ToHg38.over.chain.gz	1	gzip chain	hg19_to_hg38	coordinate harmonization only	UCSC data use terms	https://genome.ucsc.edu/goldenPath/credits.html	227698	HTTP Content-Length	35887f73fe5e2231656504d1f6430900	MD5	listed_not_verified	unavailable_not_downloaded	not_applicable	pass_chain_declared	pass_not_applicable	pass_not_applicable	pending_liftover_acceptance_rule_lock	pending_protocol_lock	pass_reference_metadata	pass_infrastructure	pass_capable_of_build_harmonization	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Unmapped, split, and multi-mapped interval acceptance rules remain to be frozen before chromatin opening	2026-09-14	genetic_access_metadata_v1	89049c2ac7da767ed5db07ba14fd09869dc19dac21e30968c23b1534905ea37e
S14	shared_negative_control	NA	NA	UNSELECTED_NEGATIVE_DISEASE	NA	negative_control_disease	NA	NA	NA	0	NA	NA	No negative disease may be selected after outcome inspection	NA	NA	0	not_available	unavailable	unavailable	unavailable	unavailable	unavailable	not_applicable	unavailable	pass_not_applicable	pass_not_applicable	pending_outcome_blind_negative_disease_lock	unavailable	fail_no_prespecified_independent_disease_control	pending_falsification_resource_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	A separate outcome-blind protocol amendment must select an exact negative disease because this audit cannot expand the frozen disease set	2026-09-14	genetic_access_metadata_v1	e535f7e5ac03daa38833b4cc47d2f5c1f2fcb7269e6f5dca28a6634ce1852309
S15	shared_negative_control	NA	NA	UNSPECIFIED_MATCHED_NEGATIVE_LOCI	NA	negative_control_loci	NA	NA	NA	0	derived_after_opening	GRCh38	Conditioning variables and matching tolerances were not fixed	NA	NA	0	not_available	unavailable	unavailable	unavailable	unavailable	not_applicable	unavailable	pass_not_applicable	pass_not_applicable	fail_matching_rule_not_frozen	pending_outcome_blind_matching_rule_lock	partial_same_GWAS_derivation_possible	fail_no_prespecified_matching_rule	pending_falsification_rule_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	Distance, gene density, LD, accessibility, MAF, and locus-size matching tolerances must be frozen before outcome opening	2026-09-14	genetic_access_metadata_v1	53f7f8b2201afe108cd9c5d79f235b518e5c8551ee44554139b7ffc2ffcf6c58
S16	shared_partitioned_heritability	NA	NA	UNSPECIFIED_BASELINE_LD_MODEL	NA	partitioned_heritability_baseline	NA	NA	NA	0	NA	unresolved_GRCh37_or_GRCh38	Baseline-LD model version, weights, and reference annotations are not fixed	NA	NA	0	not_available	unavailable	unavailable	unavailable	unavailable	not_applicable	unavailable	unavailable	pass_not_applicable	pass_not_applicable	pending_protocol_lock	unavailable	pass_methodologically_distinct	pending_exact_baseline_LD_release_lock	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	The exact baseline-LD release, build, weights, and reference annotations must be frozen before outcome opening	2026-09-14	genetic_access_metadata_v1	4d01e78eb25319b6dc226773d165a0f59556761bb5f25193cf313994c67988f7
S17	shared_eqtl	NA	NA	QTS000040_UNRESOLVED	eQTL Catalogue	eqtl_cd4_subtype_sensitivity	https://www.ebi.ac.uk/eqtl/Studies/	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000040/	29 gene-expression QTD directories from QTD000660 to QTD000688	29	per-dataset bgzip TSV and tabix plus SuSiE files	GRCh38	29 T-cell clusters from 249 donors; every release 7 condition label is naive	CC BY 4.0	https://www.ebi.ac.uk/eqtl/License/	0	not_summed_because_no_outcome_blind_subtype_role_was_frozen	unavailable	unavailable	provider_checksum_unavailable_local_SHA256_required	unavailable_outcome_unopened	complete_gene_cis_eqtl_metadata	unavailable_exact_subtype_file_set_not_locked	pass_ancestry_not_declared_at_dataset_row	pass_sensitivity_resource_not_primary	not_applicable	pending_protocol_lock	pass_independent_cohort	pass_independent_eQTL	sensitivity_only_not_opening_blocker	not_locked_pending_protocol_and_resource_capacity	not_assigned	true	false	not_evaluated_pending_outcome_opening	STOP_PENDING_PROTOCOL_AND_RESOURCE_LOCK	An outcome-blind subtype mapping is needed only if QTS000040 is retained as a sensitivity resource	2026-09-14	genetic_access_metadata_v1	7818cdaf2403f5dbaa6cc3659ef5321c1e46f731c25c073e22004223b4bbc77e
